usuario,op,co,ex,ag,ne,wordcount,categoria,imagen
3gerardpique,34.3,28.15,41.95,29.37,9.84,37.09,7,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
aguerosergiokun,44.99,20.53,37.94,24.28,10.36,78.8,7,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
albertochicote,41.73,13.75,39,34.65,8.84,49.26,4,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
AlejandroSanz,40.38,15.38,52.34,31.08,5.03,80.45,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
alfredocasero1,36.66,19.64,48.53,31.14,7.31,47.06,4,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
alo_oficial,33.53,16.18,43.21,25.79,11.93,40.14,7,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
andresiniesta8,31.85,13.74,47.18,19.59,6.91,91.52,7,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
andykusnetzoff,31.87,16.59,55.38,36.26,7.46,66.28,5,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
andyroddick,46.39,25.45,39.93,16.66,8.45,145.15,7,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
andy_murray,39.44,26.14,32.97,32.29,10.96,177.56,7,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
AngelAlessandra,52.75,24.71,41.7,17.06,8.28,97.29,3,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
antoniobanderas,41.33,20.24,39.17,21.07,7.82,32.88,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
aplusk,54.41,26.99,34.1,18.77,8.87,125.34,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
AvrilLavigne,47.61,20.34,39.44,21.44,8.87,128.86,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
BarackObama,39.44,20.09,41.48,21,13.81,178.19,8,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
BarRefaeli,48.62,21.17,43.62,19.26,5.18,58.58,3,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
Berto_Romero,40.07,25.93,44.19,33.92,8.78,49.28,4,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
BillGates,43.37,24.36,43.79,21.07,11.35,201.05,6,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
britneyspears,49.79,19.21,41.44,16.43,7.04,109.64,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
Buenafuente,30.02,14.7,44.3,39.12,5.91,70.14,4,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
CarlosAuryn,36.91,23.63,51.95,34.69,6.73,38.11,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
carmenelectra,50.59,19.28,41.38,17.9,11.23,143.82,3,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
Carrie_Br4dshaw,34.19,14.97,18.69,9.68,7.2,5.02,3,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
CasillasWorld,31.22,17.51,44.18,32.87,9.38,87.82,7,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
celinedion,47.28,29.77,41.97,12.4,7.29,79.42,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
cesarmillan,45.37,23.93,35.93,23.48,8.45,159.77,4,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
CFKArgentina,35.94,22.85,45.52,28.02,6.52,75.52,8,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
charliesheen,36.27,15.04,40.07,28.71,12.41,122.77,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
ChristianG_7,44.5,17.86,46.6,29.54,2.91,26.69,4,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
CindyCrawford,49.03,22.51,38.45,19.79,7.54,111.8,3,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
Clyburn,34.24,33.4,41.23,14.15,14.42,185.4,8,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
CourteneyCox,53.11,20.18,39.01,17.21,4.09,118.53,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
Courtney,49.29,22.64,42.12,21.01,8.39,114.18,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
Cristiano,52.9,26.41,38.62,19.97,6.88,116.34,7,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
CristiPedroche,30.69,12.71,59.82,33.4,3.48,62.3,4,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
DaniMateoAgain,34.95,19.22,50.18,36.33,9.63,60.39,5,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
DANIROVIRA,41.77,23.9,49.87,30.07,2.55,50.56,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
davidbisbal,30.83,16.4,55.91,29.49,4.52,87.99,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
David_Busta,38.95,7.85,44.46,27.35,2.07,102.71,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
Diane_Keaton,46.96,23.5,35.38,23.75,4.93,150.94,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
DidacLee,45.05,22.04,48.95,24.37,6.09,30.82,6,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
drexlerjorge,45.09,16.45,50.77,25.71,5.82,61.32,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
edans,42.44,23.41,45.78,24.75,6.75,43.56,6,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
EdwardNorton,40.05,22.14,37.72,30.57,7.86,183.77,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
EmWatson,52.54,37.28,35.29,15.79,5.7,95.87,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
enrique305,56.69,34.26,31.14,20.44,11.34,92.15,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
epunset,48.71,19.61,44.73,19.39,23.98,84.96,6,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
EvaLongoria,53.45,28.02,38.52,16.66,4.99,117.18,3,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
eva_hache,31.45,19.43,45.49,40.58,8.33,37.34,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
FALCAO,31.89,14.21,53.37,24.3,4.35,72.81,7,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
Fergie,49.08,23.46,45.67,17.45,3.68,80.95,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
FernandezAnibal,36.2,24.51,42.36,24.19,8.66,48.78,8,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
fieritacatalano,38.91,21.57,46.98,28.67,6.16,46.55,6,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
foofighters,60.23,22.31,28.9,14.34,4.47,18.24,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
GeorgeHWBush,35.55,20.42,30.3,39.42,4.7,57.63,8,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
gwenstefani,56.82,22.93,38.42,13.96,5.79,87.87,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
GwynethPaltrow,49.47,23.44,30.97,23.05,9.58,114.34,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
heidiklum,47.81,26.43,41.36,20.82,7.32,98.8,3,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
HerreraBeutler,35.78,26.52,31.23,27.69,11.42,182.13,8,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
HilaryDuff,55.97,22.31,33.09,21.33,8.41,114.41,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
HillaryClinton,40.5,25.41,34.04,16.77,10.23,171.36,8,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
hughlaurie,38.79,29.77,36.95,24.05,9.35,98.19,4,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
IamStevenT,52.08,24.8,39.4,16.63,4,118.95,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
IanMcKellen,57.43,25.01,33.12,12.41,7.41,123.82,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
ierrejon,39.53,24.88,42.35,23.81,7.34,91.63,8,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
iescolar,39.36,22.22,40.21,26.27,12.31,51.72,9,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
JerrySeinfeld,66.67,20.38,26.86,15.6,4.11,172.34,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
jessicaalba,48.59,49.64,26.99,9.95,2.98,217.18,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
JessieJ,52.68,24.69,35.33,16.51,10.03,91.81,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
JesusCalleja,45.81,15.98,53.55,30.4,5.57,112.04,4,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
JesusEncinar,44.77,22.09,43.95,24.82,6.66,85.87,6,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
jiminhofe,42.64,36.03,33.35,14.64,9.43,157.63,8,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
jimlangevin,44.51,27.2,37.72,15.14,10.28,173.86,8,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
jimmyfallon,51.83,18.58,44.3,10.05,11.26,119.19,4,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
jk_rowling,42.2,22.81,38.63,21.69,12.73,140.2,9,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
JLo,57.24,22.91,33.24,16.19,7.53,104.72,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
JohnKerry,36.35,19.77,39.22,26.6,9.73,206.53,8,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
jordievole,35.57,20.26,48.68,29.92,9.01,62.43,4,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
jordiGlez,33.42,17.85,56.54,32.23,3.34,52.15,4,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
josjaviersantos,31.75,20.56,44.34,39.15,5.22,70.81,9,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
JPVarsky,33.33,21.3,46.6,37.35,11.8,75.98,5,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
jtimberlake,41.93,26.92,41.96,17.82,6.55,107.76,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
JudgeJudy,57.15,21.96,31.19,16.39,4.71,103.98,4,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
justdemi,46.14,22.37,43.87,15.84,6.28,162,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
justinbieber,49.33,23.94,34.46,23.98,6.3,89.57,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
KAKA,44.17,28.86,43.3,27.45,8.06,61.48,7,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
kanyewest,49.32,22.99,41.49,14.2,6.07,94.32,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
KateUpton,46.16,21.97,47.81,23.34,5.49,119.11,3,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
katyperry,48.36,28.68,35.78,15.1,10.71,98.95,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
KevinSpacey,47.14,27.84,40.16,20.52,9.83,167.53,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
KidRock,48.4,27.19,36.15,12.16,7.94,97,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
kobebryant,40.28,32.29,35.34,20.81,11,100.65,7,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
ladygaga,49.05,26.1,32.92,22.45,8.89,165.58,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
LennyKravitz,47.74,33.04,41.53,19.69,7.05,93.18,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
LeoDiCaprio,48.74,21.94,42.93,17.98,10.36,216.69,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
lorenzo99,38.77,26.05,42.88,22.15,9.44,70.35,7,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
manuginobili,38.47,18.88,41.29,39.66,7.08,49.41,7,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
MariahCarey,54.91,21.44,42.27,11.26,6.4,105.28,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
maria_patino,37.24,20.25,46.25,31.8,7.95,55.71,4,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
martinvars,46.32,27.27,38.18,14.14,10.46,124.85,6,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
MeganFox516,53.33,32.52,33.35,18.5,7.75,181.07,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
MelanieGriffith,51.01,22.11,36.35,22.48,6.09,135.76,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
MileyCyrus,47.65,23.29,39.94,23.25,10.56,91.19,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
NadalMiki,32.68,17.82,54.68,35.91,6.87,87.25,4,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
OfficialAdele,65.07,24.69,25.47,14.79,1.03,142.96,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
Oprah,54.43,25.74,37.02,19.69,5.65,139.18,4,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
pabloalboran,35.83,10.88,44.6,23.93,8.02,75.97,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
Pablo_Iglesias_,39.55,22.42,45.19,25.21,7.08,77.77,8,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
paugasol,41.11,26.09,41.88,19.71,11.43,82.18,7,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
PaulaMeliveo,50.9,22.28,38.14,19.94,12.29,41.68,5,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
paulocoelho,45.67,27.75,44.52,20.55,9.12,80.79,9,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
perezreverte,37.41,19.02,43.38,33.33,10.24,70.72,9,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
pnique,31.54,24.79,47.69,28.9,8.21,81.85,8,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
porliniers,41.48,16.28,50.35,30.56,6.05,39.63,9,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
RafaelNadal,36.81,30.05,52.72,14.7,6.63,95.1,7,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
RealHughJackman,43.82,21.57,42.93,17.49,9.61,89.91,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
Rep_Hunter,39.32,41.74,30.74,13.23,16.2,121.26,8,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
rihanna,64,27.18,26.92,9.31,6.19,86.05,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
ristomejide,44.54,20.25,45.53,33.89,7.17,75.43,4,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
sanchezcastejon,35.42,26.27,41.06,24.25,8.59,103.71,8,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
SarahPalinUSA,45.16,24.73,34.68,22.72,11.52,107.23,8,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
SerranoIsmael,38.5,19.82,46.51,34.34,9.36,66.02,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
shakira,55.29,18.3,49.82,20.59,6.93,34.74,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
SJP,46.21,31.22,35,19.01,8.82,112.56,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
springsteen,54.15,30.37,32.72,11.04,6.99,100.25,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
SSantiagosegura,43.44,19.9,23.98,17.03,10.63,12.87,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
stevewoz,40.12,28.51,27.15,23.98,8.72,61.92,6,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
taylorswift13,53.95,23.37,42.41,16.11,4.05,100.45,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
TheEllenShow,48.8,19.79,46.01,14.64,5.66,153.12,4,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
thelittleidiot,43.81,23.66,36.32,21.61,11.23,150.55,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
TheReal_Jlh,51.16,16.75,44.07,17.39,8.36,145.83,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
TomCruise,58.38,14.59,45.65,12.82,4.09,127.21,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
tomhanks,40.35,27.48,37,17.29,11.54,114.71,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
usainbolt,40.81,30.63,43.96,18.98,7.91,105.53,7,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
victoriabeckham,57.96,20.41,33.37,17.68,5.75,110.02,3,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
XabiAlonso,35.57,22.13,38.9,31.62,12.2,47.54,7,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
XaviRodriguez,31.96,15.42,48.53,40.1,11.76,47.56,4,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
xoellopez,71.7,12.49,27.57,19.09,3.24,74.31,2,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
ZacEfron,51.54,26.01,36.47,23.01,7.28,118.61,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png
_josecoronado_,36.26,18.77,45.23,39.43,9.25,113.74,1,http://assets.stickpng.com/thumbs/585e4bcdcb11b227491c3396.png